,name,isVerified,rating,reviews,company_type,salaries,jobs
35,DXC Technology,1,3.7,(10.3k),IT Services & Consulting,74.7k,205
36,Infosys BPM,1,3.6,(10.2k),BPO,66.9k,48
37,Mahindra & Mahindra,1,4.1,(10.1k),Automobile,37.2k,52
38,Bajaj Finserv,1,4.0,(9.7k),Financial Services,27.6k,30
39,PwC,0,3.4,(9.6k),Management Consulting,92.4k,2k
40,HDFC Life,0,4.0,(9.4k),Insurance,30.5k,136
41,Conneqt Business Solutions,1,3.6,(9.1k),BPO,26.9k,339
42,Mphasis,1,3.4,(8.7k),IT Services & Consulting,68.8k,157
43,Bandhan Bank,1,3.7,(8.1k),Banking,22.8k,2
44,Yes Bank,0,3.7,(8k),Banking,42.6k,364
45,Startek,0,3.1,(7.8k),Bangalore / Bengaluru +78 other locations,23.6k,65
46,Paytm,1,3.3,(7.7k),FinTech,32.6k,401
47,Tata Steel,0,4.1,(7.7k),Iron & Steel,30.6k,--
48,Asian Paints,1,4.0,(7.6k),Chemicals,23.1k,28
49,Quess,1,3.9,(7.7k),BPO,28.9k,87
50,Maruti Suzuki,1,4.2,(7.5k),Automobile,25.5k,788
51,UltraTech Cement,0,4.2,(7.4k),Building Material,22.3k,26
52,Samsung,0,3.9,(7.4k),Consumer Electronics & Appliances,26.1k,5
53,Shriram Finance,1,4.1,(7.4k),NBFC,14k,20
54,Ericsson,1,4.1,(7.4k),Telecom,42.1k,153
55,EXL Service,1,3.7,(7.3k),Analytics & KPO,40.2k,65
56,Sutherland Global Services,1,3.6,(7.3k),IT Services & Consulting,30.7k,196
57,Cipla,1,4.1,(7.1k),Pharma,24.5k,80
58,Muthoot Fincorp,1,4.5,(7.1k),NBFC,8.4k,45
59,HGS,1,3.8,(7k),BPO,22.9k,23
60,Dr. Reddy's,1,4.0,(7k),Pharma,24.4k,9
61,Bajaj Finance,0,4.0,(7k),NBFC,21k,2k
62,Wells Fargo,1,3.8,(6.7k),Financial Services,50.8k,254
63,Amazon Development Centre India,0,4.1,(6.5k),Internet,32.9k,17
64,ICICI Prudential Life Insurance,0,4.1,(6.4k),Insurance,21.8k,397
65,JPMorgan Chase & Co.,1,3.9,(6.4k),Financial Services,72.5k,794
66,Delhivery,1,3.8,(6.3k),Logistics,19.3k,105
67,Hindustan Unilever,0,4.2,(6.3k),FMCG,21.3k,39
68,Jana Small Finance Bank,0,3.8,(6.2k),Banking,14.3k,25
69,Optum Global Solutions,1,4.0,(6.3k),IT Services & Consulting,40.4k,96
70,Lupin,0,4.1,(6.2k),Pharma,22.4k,90
71,L&T Construction,0,4.0,(6.2k),Engineering & Construction,18.7k,--
72,Hexaware Technologies,1,3.5,(6.2k),IT Services & Consulting,48.3k,153
73,Zydus Lifesciences,1,4.1,(6.1k),Pharma,18.7k,27
74,Equitas Small Finance Bank,1,4.5,(6.1k),Banking,12.3k,1.4k
75,JSW Steel,1,3.9,(6.1k),Iron & Steel,27.2k,100
76,Sun Pharmaceutical Industries,1,4.0,(6k),Pharma,21.7k,192
77,ITC,0,3.9,(5.8k),FMCG,22.9k,79
78,KPMG India,0,3.5,(5.7k),Management Consulting,54k,1.1k
79,FIS,1,3.9,(5.7k),IT Services & Consulting,37.9k,28
80,HCL Group,0,3.6,(5.6k),IT Services & Consulting,48.9k,4
81,Axis Max Life Insurance,1,4.1,(5.6k),Insurance,17.9k,208
82,Ujjivan Small Finance Bank,0,4.1,(5.5k),Banking,12.5k,39
83,Ekart Logistics,0,3.9,(5.5k),Bangalore / Bengaluru +675 other locations,14.1k,1
84,Tata Projects,1,4.2,(5.5k),Engineering & Construction,20.2k,27
85,Oracle,1,3.7,(5.4k),Software Product,56.8k,1.3k
86,Indian Army,0,4.7,(5.4k),Defence & Aerospace,9.6k,--
87,IIFL Finance,1,4.0,(5.4k),NBFC,14.5k,53
88,Megha Engineering & Infrastructures,0,3.9,(5.3k),Engineering & Construction,16.6k,39
